X	Y	surf.quadrat	STtot	STfrene	STfrene.lis
391000	2204000	256	1.33	0.276	0.213
391000	2188000	256	0.98	0.102	0.155
391000	2172000	256	1.96	0.357	0.312
391000	2156000	256	1.04	0.367	0.323
391000	2140000	256	0.59	0.102	0.171
391000	2124000	256	2.36	0.21	0.208
391000	2108000	256	1.02	0.152	0.207
391000	2092000	256	3.43	0.59	0.448
391000	2076000	256	1	0.456	0.391
391000	2060000	256	0.8	0.181	0.213
391000	2044000	256	1.45	0.102	0.137
391000	2028000	256	5.7	0.131	0.147
391000	2012000	256	5.13	0.17	0.18
391000	1996000	256	1.59	0.364	0.268
391000	1980000	256	5.06	0.112	0.155
391000	1964000	256	4.08	0.391	0.27
391000	1948000	256	6.18	0.17	0.17
391000	1932000	256	11.13	0.101	0.12
391000	1916000	256	7.23	0.101	0.112
391000	1900000	256	8.25	0.101	0.11
391000	1884000	256	6.16	0.101	0.122
391000	1868000	256	3.66	0.102	0.152
391000	1852000	256	4.86	0.587	0.411
391000	1836000	256	3.22	0.532	0.41
391000	1820000	256	1.48	0.124	0.239
391000	1804000	256	5.5	0.401	0.424
391000	1788000	256	10.83	0.537	0.494
391000	1772000	256	2.69	0.202	0.25
407000	2460000	256	0.65	0.142	0.179
407000	2444000	256	3.33	0.171	0.192
407000	2428000	256	1.5	0.131	0.159
407000	2412000	256	2.64	0.141	0.149
407000	2396000	256	3.24	0.101	0.122
407000	2380000	256	3.88	0.101	0.124
407000	2364000	256	1.55	0.101	0.127
407000	2348000	256	6.27	0.199	0.175
407000	2332000	256	0.98	0.101	0.124
407000	2316000	256	3.64	0.101	0.123
407000	2300000	256	3.35	0.101	0.119
407000	2284000	256	5.2	0.111	0.13
407000	2268000	256	1.37	0.101	0.133
407000	2252000	256	3.43	0.18	0.173
407000	2236000	256	0.82	0.101	0.13
407000	2220000	256	1.69	0.101	0.128
407000	2204000	256	2.06	0.141	0.153
407000	2188000	256	2.95	0.19	0.195
407000	2172000	256	3.3	0.538	0.367
407000	2156000	256	0.72	0.404	0.312
407000	2140000	256	0.4	0.122	0.166
407000	2124000	256	2.02	0.268	0.224
407000	2108000	256	2.62	0.24	0.241
407000	2092000	256	1.84	0.319	0.31
407000	2076000	256	2.38	0.569	0.41
407000	2060000	256	0.97	0.102	0.164
407000	2044000	256	5.12	0.131	0.154
407000	2028000	256	6.74	0.121	0.149
407000	2012000	256	6.35	0.19	0.195
407000	1996000	256	2.19	0.258	0.224
407000	1980000	256	2.55	0.122	0.157
407000	1964000	256	3.54	0.101	0.132
407000	1948000	256	4.06	0.179	0.168
407000	1932000	256	9.94	0.227	0.178
407000	1916000	256	11.28	0.101	0.113
407000	1900000	256	10.14	0.101	0.114
407000	1884000	256	4.95	0.111	0.129
407000	1868000	256	4.1	0.122	0.159
407000	1852000	256	3.12	0.394	0.309
407000	1836000	256	4.82	0.172	0.223
407000	1820000	256	5.94	0.222	0.265
407000	1804000	256	5.37	0.516	0.451
407000	1788000	256	9.55	0.681	0.547
407000	1772000	256	5.55	0.838	0.541
423000	2460000	256	0.55	0.201	0.213
423000	2444000	256	0.88	0.181	0.207
423000	2428000	256	2.96	0.479	0.329
423000	2412000	256	1.8	0.122	0.159
423000	2396000	256	7.44	0.111	0.139
423000	2380000	256	3.55	0.314	0.229
423000	2364000	256	2.43	0.266	0.208
423000	2348000	256	1.32	0.101	0.126
423000	2332000	256	1.92	0.208	0.168
423000	2316000	256	5.53	0.101	0.114
423000	2300000	256	8.5	0.101	0.111
423000	2284000	256	5.39	0.101	0.114
423000	2268000	256	9.56	0.111	0.134
423000	2252000	256	2.77	0.381	0.254
423000	2236000	256	6.12	0.101	0.129
423000	2220000	256	1.27	0.121	0.129
423000	2204000	256	0.74	0.169	0.154
423000	2188000	256	1.29	0.101	0.133
423000	2172000	256	1.84	0.141	0.166
423000	2156000	256	2.38	0.306	0.242
423000	2140000	256	1.49	0.102	0.141
423000	2124000	256	1.39	0.102	0.138
423000	2108000	256	2.61	0.142	0.175
423000	2092000	256	2.75	0.308	0.277
423000	2076000	256	2.11	0.337	0.28
423000	2060000	256	3.47	0.102	0.158
423000	2044000	256	4.66	0.335	0.253
423000	2028000	256	4.36	0.18	0.186
423000	2012000	256	7.82	0.112	0.157
423000	1996000	256	6.93	0.363	0.264
423000	1980000	256	3.41	0.102	0.14
423000	1964000	256	4.73	0.14	0.146
423000	1948000	256	1.62	0.101	0.123
423000	1932000	256	5.49	0.101	0.119
423000	1916000	256	13.38	0.101	0.119
423000	1900000	256	11.92	0.101	0.121
423000	1884000	256	4.36	0.18	0.171
423000	1868000	256	3.66	0.325	0.243
423000	1852000	256	2.81	0.122	0.158
423000	1836000	256	2.37	0.142	0.18
423000	1820000	256	4.23	0.377	0.317
423000	1804000	256	3.91	0.193	0.285
423000	1788000	256	8.96	0.777	0.597
423000	1772000	256	6.37	0.341	0.359
439000	2476000	256	1.74	0.404	0.316
439000	2460000	256	2.85	0.298	0.263
439000	2444000	256	1.49	0.103	0.182
439000	2428000	256	2.03	0.577	0.394
439000	2412000	256	3.15	0.172	0.212
439000	2396000	256	6.22	0.181	0.192
439000	2380000	256	2.95	0.122	0.16
439000	2364000	256	0.45	0.131	0.153
439000	2348000	256	2.17	0.101	0.131
439000	2332000	256	2.62	0.101	0.119
439000	2316000	256	8.61	0.101	0.118
439000	2300000	256	5.09	0.101	0.114
439000	2284000	256	4.03	0.101	0.117
439000	2268000	256	12.32	0.101	0.134
439000	2252000	256	6.71	0.276	0.22
439000	2236000	256	4.11	0.101	0.134
439000	2220000	256	3.91	0.101	0.117
439000	2204000	256	3.02	0.111	0.119
439000	2188000	256	0.33	0.101	0.117
439000	2172000	256	4.26	0.111	0.129
439000	2156000	256	3.55	0.111	0.131
439000	2140000	256	2.23	0.101	0.127
439000	2124000	256	4.08	0.179	0.165
439000	2108000	256	4.15	0.18	0.18
439000	2092000	256	3.41	0.122	0.165
439000	2076000	256	4.99	0.268	0.233
439000	2060000	256	5.98	0.102	0.151
439000	2044000	256	2.64	0.181	0.191
439000	2028000	256	6.55	0.345	0.27
439000	2012000	256	10.14	0.112	0.157
439000	1996000	256	10.93	0.229	0.202
439000	1980000	256	3	0.151	0.165
439000	1964000	256	2.65	0.17	0.163
439000	1948000	256	2.43	0.111	0.13
439000	1932000	256	0.97	0.101	0.122
439000	1916000	256	2.97	0.101	0.125
439000	1900000	256	2.4	0.285	0.213
439000	1884000	256	1.26	0.121	0.142
439000	1868000	256	1.06	0.199	0.177
439000	1852000	256	4.27	0.101	0.131
439000	1836000	256	2.56	0.151	0.163
439000	1820000	256	4.48	0.24	0.229
439000	1804000	256	7.81	0.291	0.316
439000	1788000	256	11.9	0.517	0.487
439000	1772000	256	10.08	0.449	0.451
455000	2508000	256	0.97	0.122	0.169
455000	2476000	256	2.18	0.172	0.203
455000	2460000	256	3.67	0.317	0.273
455000	2444000	256	2.91	0.133	0.201
455000	2428000	256	4.25	0.444	0.354
455000	2412000	256	2.75	0.29	0.297
455000	2396000	256	3.18	0.25	0.244
455000	2380000	256	3.46	0.161	0.187
455000	2364000	256	1.53	0.334	0.245
455000	2348000	256	2.72	0.101	0.13
455000	2332000	256	8.72	0.179	0.164
455000	2316000	256	9.76	0.101	0.126
455000	2300000	256	5.69	0.169	0.158
455000	2284000	256	5.86	0.121	0.139
455000	2268000	256	10	0.121	0.154
455000	2252000	256	9.9	0.344	0.258
455000	2236000	256	4.49	0.16	0.163
455000	2220000	256	3.52	0.101	0.115
455000	2204000	256	5.3	0.101	0.112
455000	2188000	256	7.44	0.101	0.115
455000	2172000	256	4.74	0.101	0.12
455000	2156000	256	5.65	0.179	0.159
455000	2140000	256	1.28	0.111	0.13
455000	2124000	256	2.69	0.101	0.128
455000	2108000	256	5.97	0.141	0.16
455000	2092000	256	4.46	0.239	0.216
455000	2076000	256	4.79	0.141	0.171
455000	2060000	256	5.78	0.132	0.167
455000	2044000	256	5.66	0.21	0.204
455000	2028000	256	6.98	0.21	0.201
455000	2012000	256	9.7	0.277	0.223
455000	1996000	256	10.4	0.131	0.148
455000	1980000	256	2.47	0.111	0.143
455000	1964000	256	3.12	0.267	0.218
455000	1948000	256	2.89	0.131	0.152
455000	1932000	256	2.89	0.131	0.147
455000	1916000	256	2.2	0.333	0.234
455000	1900000	256	1.29	0.131	0.142
455000	1884000	256	1.31	0.111	0.128
455000	1868000	256	1.73	0.101	0.12
455000	1852000	256	3.26	0.13	0.137
455000	1836000	256	2.79	0.101	0.13
455000	1820000	256	3.23	0.102	0.148
455000	1804000	256	5.97	0.183	0.246
455000	1788000	256	7.55	0.854	0.64
455000	1772000	256	16.34	1.745	0.995
471000	2524000	256	3.21	0.823	0.489
471000	2508000	256	2.8	0.171	0.205
471000	2492000	256	1.96	0.22	0.218
471000	2476000	256	3.81	0.259	0.239
471000	2460000	256	1.44	0.142	0.183
471000	2444000	256	2.81	0.211	0.228
471000	2428000	256	5.07	0.587	0.402
471000	2412000	256	5.04	0.222	0.262
471000	2396000	256	6.23	0.51	0.37
471000	2380000	256	6.49	0.201	0.219
471000	2364000	256	3.34	0.102	0.148
471000	2348000	256	2.92	0.19	0.185
471000	2332000	256	5.61	0.121	0.144
471000	2316000	256	2.69	0.276	0.218
471000	2300000	256	2.76	0.18	0.176
471000	2284000	256	5.09	0.102	0.145
471000	2268000	256	2.1	0.335	0.261
471000	2252000	256	4.3	0.373	0.274
471000	2236000	256	3.67	0.101	0.131
471000	2220000	256	4.58	0.101	0.116
471000	2204000	256	6.25	0.14	0.13
471000	2188000	256	3.99	0.13	0.129
471000	2172000	256	2.97	0.189	0.163
471000	2156000	256	4.45	0.17	0.16
471000	2140000	256	1.87	0.101	0.131
471000	2124000	256	3.1	0.17	0.166
471000	2108000	256	3.4	0.17	0.179
471000	2092000	256	2.73	0.2	0.204
471000	2076000	256	8.9	0.23	0.222
471000	2060000	256	8.85	0.268	0.231
471000	2044000	256	8.15	0.258	0.217
471000	2028000	256	8.66	0.102	0.136
471000	2012000	256	9.16	0.101	0.128
471000	1996000	256	7.69	0.121	0.136
471000	1980000	256	6.45	0.15	0.156
471000	1964000	256	2.85	0.267	0.215
471000	1948000	256	2.64	0.296	0.231
471000	1932000	256	2.71	0.16	0.166
471000	1916000	256	1.64	0.121	0.14
471000	1900000	256	1.87	0.101	0.122
471000	1884000	256	1.58	0.101	0.116
471000	1868000	256	0.42	0.101	0.117
471000	1852000	256	1.99	0.169	0.152
471000	1836000	256	2.21	0.101	0.124
471000	1820000	256	3.69	0.228	0.196
471000	1804000	256	3.14	0.201	0.229
471000	1788000	256	4.95	0.661	0.531
471000	1772000	256	11.98	0.721	0.604
487000	2524000	256	1.38	0.103	0.191
487000	2508000	256	3.76	0.24	0.249
487000	2492000	256	5.24	0.112	0.173
487000	2476000	256	4.94	0.317	0.265
487000	2460000	256	5.11	0.191	0.203
487000	2444000	256	6.58	0.142	0.178
487000	2428000	256	7.58	0.171	0.199
487000	2412000	256	2.79	0.221	0.245
487000	2396000	256	8.86	0.385	0.311
487000	2380000	256	3.99	0.132	0.183
487000	2364000	256	3.17	0.229	0.216
487000	2348000	256	3.06	0.287	0.233
487000	2332000	256	2.78	0.102	0.144
487000	2316000	256	1.33	0.111	0.145
487000	2300000	256	4.11	0.287	0.234
487000	2284000	256	5.27	0.2	0.201
487000	2268000	256	2.33	0.239	0.22
487000	2252000	256	3.71	0.131	0.16
487000	2236000	256	4.22	0.14	0.146
487000	2220000	256	3.85	0.101	0.116
487000	2204000	256	4.27	0.101	0.113
487000	2188000	256	5.92	0.101	0.116
487000	2172000	256	2.58	0.101	0.126
487000	2156000	256	1.9	0.131	0.146
487000	2140000	256	2.52	0.238	0.203
487000	2124000	256	1.95	0.218	0.189
487000	2108000	256	5.66	0.112	0.149
487000	2092000	256	4.48	0.374	0.276
487000	2076000	256	7.59	0.336	0.266
487000	2060000	256	7.37	0.112	0.151
487000	2044000	256	8.72	0.121	0.148
487000	2028000	256	10.26	0.16	0.158
487000	2012000	256	7.55	0.101	0.121
487000	1996000	256	10.14	0.121	0.131
487000	1980000	256	7.66	0.121	0.139
487000	1964000	256	12.01	0.111	0.14
487000	1948000	256	5.24	0.102	0.138
487000	1932000	256	2.4	0.189	0.175
487000	1916000	256	2.65	0.131	0.14
487000	1900000	256	1.39	0.159	0.143
487000	1884000	256	1.97	0.101	0.114
487000	1868000	256	0.98	0.15	0.145
487000	1852000	256	1.59	0.121	0.137
487000	1836000	256	1.79	0.101	0.133
487000	1820000	256	1.93	0.102	0.14
487000	1804000	256	2.85	0.102	0.169
487000	1788000	256	4.65	0.154	0.262
487000	1772000	256	13.09	0.882	0.641
503000	2524000	256	1.3	0.251	0.283
503000	2508000	256	4.76	0.309	0.29
503000	2492000	256	7.42	0.231	0.245
503000	2476000	256	6.49	0.142	0.196
503000	2460000	256	3.18	0.211	0.221
503000	2444000	256	5.3	0.151	0.181
503000	2428000	256	1.57	0.102	0.148
503000	2412000	256	3.64	0.181	0.199
503000	2396000	256	8.49	0.384	0.293
503000	2380000	256	5.76	0.112	0.163
503000	2364000	256	4.4	0.249	0.226
503000	2348000	256	0.55	0.268	0.234
503000	2332000	256	3.57	0.112	0.152
503000	2316000	256	5.26	0.248	0.214
503000	2300000	256	2.28	0.112	0.152
503000	2284000	256	5.98	0.181	0.199
503000	2268000	256	8.89	0.191	0.201
503000	2252000	256	3.96	0.112	0.15
503000	2236000	256	7.02	0.14	0.146
503000	2220000	256	3.07	0.111	0.128
503000	2204000	256	4.05	0.101	0.121
503000	2188000	256	2.94	0.101	0.122
503000	2172000	256	3.91	0.101	0.125
503000	2156000	256	2.96	0.4	0.258
503000	2140000	256	1.56	0.101	0.135
503000	2124000	256	2.86	0.15	0.154
503000	2108000	256	5.21	0.102	0.139
503000	2092000	256	4.34	0.238	0.21
503000	2076000	256	5.41	0.102	0.144
503000	2060000	256	6.91	0.151	0.159
503000	2044000	256	5.74	0.18	0.172
503000	2028000	256	5.73	0.16	0.16
503000	2012000	256	7.94	0.121	0.136
503000	1996000	256	11.31	0.101	0.122
503000	1980000	256	8.05	0.208	0.174
503000	1964000	256	11.83	0.17	0.161
503000	1948000	256	8.56	0.111	0.135
503000	1932000	256	5.86	0.218	0.185
503000	1916000	256	3.25	0.101	0.125
503000	1900000	256	2.1	0.101	0.115
503000	1884000	256	1.49	0.101	0.114
503000	1868000	256	2.38	0.101	0.124
503000	1852000	256	3.19	0.333	0.237
503000	1836000	256	2.98	0.199	0.186
503000	1820000	256	1.23	0.151	0.163
503000	1804000	256	2.69	0.307	0.258
503000	1788000	256	7.34	0.301	0.33
503000	1772000	256	8.37	0.941	0.686
519000	2540000	256	5.08	0.696	0.492
519000	2524000	256	5.27	0.311	0.333
519000	2508000	256	3.38	0.494	0.401
519000	2492000	256	4.09	0.281	0.289
519000	2476000	256	5.92	0.143	0.215
519000	2460000	256	8.08	0.758	0.466
519000	2444000	256	4.1	0.122	0.18
519000	2428000	256	2.76	0.142	0.172
519000	2412000	256	3.55	0.239	0.217
519000	2396000	256	2.23	0.102	0.158
519000	2380000	256	1.84	0.19	0.201
519000	2364000	256	1.24	0.151	0.178
519000	2348000	256	2.3	0.171	0.182
519000	2332000	256	3.62	0.325	0.251
519000	2316000	256	3.71	0.122	0.163
519000	2300000	256	0.4	0.161	0.191
519000	2284000	256	5.76	0.162	0.199
519000	2268000	256	6.86	0.442	0.32
519000	2252000	256	8.33	0.258	0.225
519000	2236000	256	5.18	0.101	0.134
519000	2220000	256	2.84	0.101	0.134
519000	2204000	256	6.94	0.372	0.255
